Age, Animals, Grass, Available Spaces, Average Energy, Average Death Age, Most Popular Genotype
1,514,146,9340,481.77042,0.0,[7 7 0 2 7]
2,528,183,9289,465.22726,0.0,[7 7 0 2 7]
3,537,232,9231,452.5233,0.0,[7 7 0 2 7]
4,551,270,9179,437.11435,0.0,[7 7 0 2 7]
5,561,306,9133,425.5704,0.0,[7 7 0 2 7]
6,575,337,9088,411.86087,0.0,[7 7 0 2 7]
7,586,373,9041,400.32422,0.0,[7 7 0 2 7]
8,601,406,8993,386.7471,0.0,[7 7 0 2 7]
9,608,444,8948,378.28125,0.0,[7 7 0 2 7]
10,617,471,8912,369.62723,0.0,[7 7 0 2 7]
11,631,505,8864,357.69412,0.0,[7 7 0 2 7]
12,646,529,8825,346.40094,0.0,[7 7 0 2 7]
13,660,553,8787,336.02274,0.0,[7 7 0 2 7]
14,673,579,8748,326.315,0.0,[7 7 0 2 7]
15,680,603,8717,319.86765,0.0,[7 7 0 2 7]
16,689,620,8691,313.08417,0.0,[7 7 0 2 7]
17,705,646,8649,302.68085,0.0,[7 7 0 2 7]
18,716,654,8630,295.96368,0.0,[7 7 0 2 7]
19,726,667,8607,289.43527,0.0,[7 7 0 2 7]
20,740,683,8577,281.18918,0.0,[7 7 0 2 7]
21,748,708,8544,274.85294,20.0,[7 7 0 2 7]
22,748,721,8531,272.3262,20.0,[7 7 0 2 7]
23,758,732,8510,266.30606,20.0,[7 7 0 2 7]
24,760,745,8495,263.03946,20.0,[7 7 0 2 7]
25,761,753,8486,260.45334,20.0,[7 7 0 2 7]
26,760,766,8474,258.16446,20.0,[7 7 0 2 7]
27,765,781,8454,253.76471,20.0,[7 7 0 2 7]
28,770,791,8439,249.71428,20.0,[7 7 0 2 7]
29,776,805,8419,245.10309,20.0,[7 7 0 2 7]
30,787,802,8411,240.04448,20.0,[7 7 0 2 7]
31,790,813,8397,236.60127,20.537638,[7 7 0 2 7]
32,797,816,8387,232.47177,20.600004,[7 7 0 2 7]
33,793,821,8386,231.48172,20.636368,[7 7 0 2 7]
34,805,810,8385,226.81987,20.756306,[7 7 0 2 7]
35,816,821,8363,221.15196,20.806456,[7 7 0 2 7]
36,823,821,8356,217.30862,20.839699,[7 7 0 2 7]
37,832,831,8337,212.36179,21.095892,[7 7 0 2 7]
38,834,829,8337,209.97002,21.217949,[7 7 0 2 7]
39,845,829,8326,205.19527,21.219511,[7 7 0 2 7]
40,855,832,8313,200.54385,21.242603,[7 7 0 2 7]
41,854,830,8316,198.82318,21.891886,[7 7 0 2 7]
42,860,829,8311,195.40117,22.049995,[7 7 0 2 7]
43,860,824,8316,193.59883,22.028297,[7 7 0 2 7]
44,863,816,8321,191.22827,22.062777,[7 7 0 2 7]
45,867,803,8330,188.97923,22.149118,[7 7 0 2 7]
46,873,785,8342,186.57503,22.145918,[7 7 0 2 7]
47,879,782,8339,183.31627,22.175728,[7 7 0 2 7]
48,887,778,8335,179.70688,22.154467,[7 7 0 2 7]
49,890,771,8339,177.2472,22.244091,[7 7 0 2 7]
50,894,759,8347,174.9217,22.226412,[7 7 0 2 7]
51,889,751,8360,174.1676,22.957745,[7 7 0 2 7]
52,889,753,8358,171.86726,22.87671,[7 7 0 2 7]
53,898,751,8351,168.04008,22.919462,[7 7 0 2 7]
54,892,744,8364,167.36546,22.903225,[7 7 0 2 7]
55,896,750,8354,164.07365,22.848293,[7 7 0 2 7]
56,888,747,8365,163.47974,22.976183,[7 7 0 2 7]
57,888,730,8382,162.25226,23.112383,[7 7 0 2 7]
58,900,714,8386,158.75555,23.163832,[7 7 0 2 7]
59,906,713,8381,155.51877,23.09588,[7 7 0 2 7]
60,902,705,8393,154.42351,23.103437,[7 7 0 2 7]
61,856,701,8443,160.87617,26.69745,[7 7 0 2 7]
62,855,709,8436,158.46199,26.554045,[7 7 0 2 7]
63,857,709,8434,156.00934,26.59291,[7 7 0 2 7]
64,853,696,8451,155.43376,26.59482,[7 7 0 2 7]
65,864,691,8445,151.63773,26.552454,[7 7 0 2 7]
66,875,683,8442,148.04572,26.504229,[7 7 0 2 7]
67,874,675,8451,146.53319,26.509232,[7 7 0 2 7]
68,874,678,8448,144.22197,26.491928,[7 7 0 2 7]
69,876,674,8450,141.97488,26.547611,[7 7 0 2 7]
70,878,668,8454,139.84055,26.555765,[7 7 0 2 7]
71,828,676,8496,145.82126,30.21089,[7 7 0 2 7]
72,824,680,8496,144.32039,30.345417,[7 7 0 2 7]
73,819,673,8508,143.68132,30.289108,[7 7 0 2 7]
74,824,669,8507,141.08617,30.318785,[7 7 0 2 7]
75,824,671,8505,138.99878,30.29556,[7 7 0 2 7]
76,828,675,8497,136.10507,30.308435,[7 7 0 2 7]
77,824,671,8505,135.04248,30.382769,[7 7 0 2 7]
78,823,662,8515,133.79102,30.34214,[7 7 0 2 7]
79,818,659,8523,132.8484,30.321587,[7 7 0 2 7]
80,820,645,8535,131.42683,30.390972,[7 7 0 2 7]
81,763,649,8588,139.2595,34.13461,[7 7 0 2 7]
82,771,654,8575,135.73282,34.10326,[7 7 0 2 7]
83,776,656,8568,132.95103,34.150944,[7 7 0 2 7]
84,776,647,8577,131.68814,34.144382,[7 7 0 2 7]
85,776,650,8574,129.71649,34.116093,[7 7 0 2 7]
86,775,646,8579,128.36774,34.14602,[7 7 0 2 7]
87,774,645,8581,126.82816,34.107822,[7 7 0 2 7]
88,777,649,8574,124.298584,34.12213,[7 7 0 2 7]
89,784,640,8576,121.95153,34.05815,[7 7 0 2 7]
90,782,643,8575,120.26854,34.1375,[7 7 0 2 7]
91,706,653,8641,131.04816,38.810863,[7 7 0 2 7]
92,711,655,8634,128.4318,38.792316,[7 7 0 2 7]
93,710,652,8638,127.34507,38.770943,[7 7 0 2 7]
94,705,655,8640,126.58156,38.79823,[7 7 0 2 7]
95,703,658,8639,125.28449,38.83771,[7 7 0 2 7]
96,704,664,8632,123.23154,38.854954,[7 7 0 2 7]
97,704,664,8632,121.78267,38.851562,[7 7 0 2 7]
98,699,671,8630,120.729614,38.791435,[7 7 0 2 7]
99,698,670,8632,119.55588,38.79914,[7 7 0 2 7]
100,696,678,8626,117.916664,38.768414,[7 7 0 2 7]
101,620,683,8697,131.0,42.965107,[7 7 0 2 7]
102,616,695,8689,129.93506,42.87907,[7 7 0 2 7]
103,614,706,8680,128.5342,42.853046,[7 7 0 2 7]
104,617,693,8690,128.01459,42.870716,[7 7 0 2 7]
105,607,691,8702,129.40692,42.78611,[7 7 0 2 7]
106,604,686,8710,129.60265,42.749294,[7 7 0 2 7]
107,602,699,8699,128.10631,42.636444,[7 7 0 2 7]
108,599,699,8702,127.838066,42.62145,[7 7 0 2 7]
109,597,699,8704,127.45393,42.538673,[7 7 0 2 7]
110,594,701,8705,127.13805,42.48869,[7 7 0 2 7]
111,554,708,8738,135.19856,44.76936,[7 7 0 2 5]
112,546,711,8743,136.48352,44.78933,[7 7 0 2 5]
113,547,711,8742,135.62157,44.734585,[7 7 0 2 5]
114,553,712,8735,133.58047,44.7094,[7 7 0 2 5]
115,544,722,8734,134.46692,44.60237,[7 7 0 2 5]
116,540,733,8727,134.07408,44.57071,[7 7 0 2 5]
117,539,740,8721,133.31169,44.589622,[7 7 0 2 5]
118,534,749,8717,133.39888,44.522034,[7 7 0 2 5]
119,539,763,8698,130.50093,44.516136,[7 7 0 2 5]
120,535,776,8689,129.93459,44.461796,[7 7 0 2 5]
121,507,780,8713,136.64694,46.126705,[7 7 0 2 5]
122,508,800,8692,134.3307,46.176,[7 7 0 2 5]
123,508,808,8684,133.46457,46.1563,[0 6 6 7 0]
124,508,814,8678,132.69685,46.161148,[0 6 6 7 0]
125,512,825,8663,130.46875,46.175087,[0 6 6 7 0]
126,512,830,8658,129.86328,46.2107,[0 6 6 7 0]
127,513,836,8651,128.89864,46.14723,[0 6 6 7 0]
128,509,837,8654,129.72495,46.140083,[0 6 6 7 0]
129,506,844,8650,129.64427,46.14552,[0 6 6 7 0]
130,509,851,8640,128.10413,46.188282,[0 6 6 7 0]
131,481,860,8659,134.82329,47.967,[0 6 6 7 0]
132,480,869,8651,134.375,47.998516,[0 6 6 7 0]
133,481,877,8642,133.46153,47.99404,[0 6 6 7 0]
134,476,883,8641,134.38025,47.976284,[0 6 6 7 0]
135,477,896,8627,132.97694,48.085743,[0 6 6 7 0]
136,479,887,8634,133.58038,48.181156,[0 6 6 7 0]
137,478,897,8625,133.04393,48.180496,[0 6 6 7 0]
138,479,903,8618,132.35909,48.26882,[0 6 6 7 0]
139,478,920,8602,130.98326,48.27036,[0 6 6 7 0]
140,472,933,8595,131.5678,48.52815,[0 6 6 7 0]
141,454,932,8614,137.40088,49.609108,[0 6 6 7 0]
142,455,947,8598,135.94505,49.589245,[0 6 6 7 0]
143,452,963,8585,135.60841,49.57013,[0 6 6 7 0]
144,452,963,8585,136.13937,49.60001,[0 6 6 7 0]
145,454,967,8579,135.60573,49.608128,[0 6 6 7 0]
146,454,975,8571,135.23128,49.623703,[0 6 6 7 0]
147,458,983,8559,133.5262,49.63093,[0 6 6 7 0]
148,461,993,8546,131.99567,49.659496,[0 6 6 7 0]
149,463,1002,8535,130.85313,49.6743,[0 6 6 7 0]
150,463,1009,8528,130.49677,49.66138,[0 6 6 7 0]
151,446,1022,8532,134.61884,50.74933,[0 6 6 7 0]
152,441,1035,8524,135.34013,50.793232,[0 6 6 7 0]
153,440,1043,8517,135.42046,50.83955,[0 6 6 7 0]
154,435,1049,8516,136.91954,50.82156,[0 6 6 7 0]
155,434,1059,8507,136.84332,50.879795,[0 6 6 7 0]
156,436,1066,8498,136.14679,50.88905,[0 6 6 7 0]
